,Open,High,Low,Close,Volume,DeliveryPct
2016-08-17,740.0,752.55,731.05,746.35,62042.0,
2016-08-18,746.25,772.95,744.95,761.3,48408.0,
2016-08-19,766.25,766.25,740.0,748.25,52259.0,
2016-08-22,746.05,765.0,746.05,749.05,26456.0,
2016-08-23,749.0,750.0,740.0,745.25,6164.0,
2016-08-24,745.0,766.0,740.25,750.1,18047.0,
2016-08-25,763.0,770.0,748.25,766.6,37989.0,
2016-08-26,768.0,789.0,753.0,784.4,25148.0,
2016-08-29,793.9,842.0,789.0,833.8,133870.0,
2016-08-30,835.0,849.25,806.65,846.2,111872.0,
2016-08-31,850.0,884.8,833.7,877.65,73397.0,
2016-09-01,861.0,874.0,811.0,823.05,46871.0,
2016-09-02,815.1,874.4,815.1,840.8,96786.0,
2016-09-06,848.0,884.9,840.3,879.7,92738.0,
2016-09-07,870.65,904.95,870.0,889.7,57228.0,
2016-09-08,892.0,902.8,865.0,873.8,30713.0,
2016-09-09,875.0,909.6,867.05,893.15,69279.0,
2016-09-12,899.8,919.0,876.0,887.75,218725.0,
2016-09-14,870.25,906.7,870.25,885.25,76913.0,
2016-09-15,884.0,908.1,871.1,876.35,31131.0,
2016-09-16,880.0,887.6,819.15,828.4,820143.0,
2016-09-19,834.95,860.0,834.95,847.45,44707.0,
2016-09-20,853.95,854.0,825.05,831.7,37028.0,
2016-09-21,827.05,839.0,815.05,825.2,57485.0,
2016-09-22,844.0,844.0,823.2,837.25,56130.0,
2016-09-23,836.0,864.0,834.55,852.2,80431.0,
2016-09-26,851.25,858.45,842.55,851.1,31915.0,
2016-09-27,860.5,862.4,845.75,855.8,27320.0,
2016-09-28,860.0,899.9,855.0,891.65,269764.0,
2016-09-29,898.6,954.9,856.65,913.75,253386.0,
2016-09-30,909.9,1034.5,905.15,1013.9,205483.0,
2016-10-03,1022.0,1044.0,983.55,1014.25,102273.0,
2016-10-04,1015.4,1111.0,1015.4,1096.65,231898.0,
2016-10-05,1096.0,1204.8,1052.6,1145.3,433036.0,
2016-10-06,1146.55,1184.0,1123.0,1146.5,164002.0,
2016-10-07,1149.95,1157.0,1112.05,1116.95,65041.0,
2016-10-10,1130.3,1140.0,1090.25,1102.65,48760.0,
2016-10-13,1107.7,1107.7,1040.0,1073.25,103892.0,
2016-10-14,1065.75,1119.0,1050.0,1104.45,106747.0,
2016-10-17,1105.0,1115.0,1075.05,1078.75,61714.0,
2016-10-18,1088.95,1088.95,1052.0,1063.4,56351.0,
2016-10-19,1074.4,1074.4,1048.1,1059.55,41026.0,
2016-10-20,1060.0,1077.85,1025.5,1037.35,39620.0,
2016-10-21,1040.0,1072.0,1038.95,1046.4,73357.0,
2016-10-24,1047.0,1108.0,1045.0,1088.4,122230.0,
2016-10-25,1084.0,1098.4,1080.1,1088.45,31891.0,
2016-10-26,1098.8,1098.8,1061.65,1080.75,25138.0,
2016-10-27,1079.0,1088.0,1055.0,1062.5,14801.0,
2016-10-28,1053.05,1079.95,1053.0,1061.8,7633.0,
2016-11-01,1077.95,1090.0,1036.5,1048.55,31177.0,
2016-11-02,1048.0,1060.0,1010.5,1019.05,23239.0,
2016-11-03,1021.0,1070.0,1012.05,1046.6,42500.0,
2016-11-04,1041.5,1055.0,986.05,990.6,47497.0,
2016-11-07,1008.7,1033.85,993.0,1005.85,22189.0,
2016-11-08,1010.05,1034.75,1004.4,1014.4,25256.0,
2016-11-09,986.0,1044.0,812.0,1022.95,43300.0,
2016-11-10,1045.0,1058.0,1030.0,1035.0,18098.0,
2016-11-11,1054.9,1054.9,983.1,998.3,498035.0,
2016-11-15,1000.05,1028.0,915.9,964.45,31389.0,
2016-11-16,965.0,1001.65,926.85,993.55,28372.0,
2016-11-17,984.95,996.0,950.0,964.55,20057.0,
2016-11-18,990.0,994.0,946.05,984.55,31346.0,
2016-11-21,991.3,992.0,955.0,962.45,24257.0,
2016-11-22,950.0,981.0,915.05,966.35,24933.0,
2016-11-23,980.0,981.0,918.45,927.3,39499.0,
2016-11-24,938.6,946.0,902.0,924.25,64137.0,
2016-11-25,925.0,936.0,905.25,926.2,29087.0,
2016-11-28,945.0,945.0,916.25,925.55,19124.0,
2016-11-29,934.95,935.0,911.95,925.55,42285.0,
2016-11-30,930.05,1008.0,930.05,992.75,286490.0,
2016-12-01,1061.5,1191.3,1061.5,1190.3,886590.0,
2016-12-02,1201.0,1285.75,1200.95,1217.0,837774.0,
2016-12-05,1224.5,1249.0,1201.0,1212.9,217395.0,
2016-12-06,1210.0,1267.9,1190.1,1230.3,244663.0,
2016-12-07,1234.0,1248.0,1188.5,1199.65,95121.0,
